,Protein,ENSG,UniProt,Source,Score,disease_id
63,CDKN2A,ENSG00000147889,Q8N726,uniprot_swissprot,0.49731134869092763,MONDO_0004975
64,NDUFAB1,ENSG00000004779,O14561,uniprot_swissprot,0.4967616359376609,MONDO_0004975
65,CDKN2B,ENSG00000147883,P42772,uniprot_swissprot,0.4950283247408023,MONDO_0004975
66,CAMLG,ENSG00000164615,P49069,uniprot_swissprot,0.49420155075608413,MONDO_0004975
67,BIN1,ENSG00000136717,O00499,uniprot_swissprot,0.4934745637215591,MONDO_0004975
68,KAT8,ENSG00000103510,Q9H7Z6,uniprot_swissprot,0.4920915205575386,MONDO_0004975
69,ABCA7,ENSG00000064687,Q8IZY2,uniprot_swissprot,0.4884044889066338,MONDO_0004975
70,CD33,ENSG00000105383,P20138,uniprot_swissprot,0.4863462799429318,MONDO_0004975
71,KIF1A,ENSG00000130294,Q12756,uniprot_swissprot,0.483894508911284,MONDO_0004975
72,SCN8A,ENSG00000196876,Q9UQD0,uniprot_swissprot,0.4835939565915479,MONDO_0004975
73,SCN1A,ENSG00000144285,P35498,uniprot_swissprot,0.48015307977090427,MONDO_0004975
74,CD2AP,ENSG00000198087,Q9Y5K6,uniprot_swissprot,0.4795295652626402,MONDO_0004975
75,GABRP,ENSG00000094755,O00591,uniprot_swissprot,0.4792728924046622,MONDO_0004975
76,MPO,ENSG00000005381,P05164,uniprot_swissprot,0.4770742086411623,MONDO_0004975
77,CR1,ENSG00000203710,P17927,uniprot_swissprot,0.47389128415210857,MONDO_0004975
78,NEU1,ENSG00000204386,Q99519,uniprot_swissprot,0.4723230542870489,MONDO_0004975
79,GABBR1,ENSG00000204681,Q9UBS5,uniprot_swissprot,0.47173816238675553,MONDO_0004975
80,SCN2A,ENSG00000136531,Q99250,uniprot_swissprot,0.4714162033835185,MONDO_0004975
81,GABBR2,ENSG00000136928,O75899,uniprot_swissprot,0.4709448683066046,MONDO_0004975
82,SCN3A,ENSG00000153253,Q9NY46,uniprot_swissprot,0.47077776784499104,MONDO_0004975
83,SCN4A,ENSG00000007314,P35499,uniprot_swissprot,0.4701877040155372,MONDO_0004975
84,SCN7A,ENSG00000136546,Q01118,uniprot_swissprot,0.4701877040155372,MONDO_0004975
85,SCN5A,ENSG00000183873,Q14524,uniprot_swissprot,0.4701877040155372,MONDO_0004975
86,SCN10A,ENSG00000185313,Q9Y5Y9,uniprot_swissprot,0.4701877040155372,MONDO_0004975
