,Protein,ENSG,UniProt,Source,Score
0,GCK,ENSG00000106633,P35557,uniprot_swissprot,0.8493051059955312
1,ABCC8,ENSG00000006071,Q09428,uniprot_swissprot,0.8486664206799466
2,KCNJ11,ENSG00000187486,Q14654,uniprot_swissprot,0.8440806433909872
3,PPARG,ENSG00000132170,P37231,uniprot_swissprot,0.8372194448301385
4,INSR,ENSG00000171105,P06213,uniprot_swissprot,0.7765924185819997
5,HNF1B,ENSG00000275410,P35680,uniprot_swissprot,0.7718735611612327
6,HNF4A,ENSG00000101076,P41235,uniprot_swissprot,0.7499756077285733
7,GLP1R,ENSG00000112164,P43220,uniprot_swissprot,0.7449929589308576
8,HNF1A,ENSG00000135100,P20823,uniprot_swissprot,0.7396722695080794
9,WFS1,ENSG00000109501,O76024,uniprot_swissprot,0.7392574764115589
10,GPD2,ENSG00000115159,P43304,uniprot_swissprot,0.6964812486561656
11,SLC2A2,ENSG00000163581,P11168,uniprot_swissprot,0.6940091724484956
12,AKT2,ENSG00000105221,P31751,uniprot_swissprot,0.6936920698858456
13,GIPR,ENSG00000010310,P48546,uniprot_swissprot,0.6707552406929838
14,CALCR,ENSG00000004948,P30988,uniprot_swissprot,0.6605025486808073
15,ACE,ENSG00000159640,P12821,uniprot_swissprot,0.6568026716016494
16,MT-ND1,ENSG00000198888,P03886,uniprot_swissprot,0.6539023534137692
17,TCF7L2,ENSG00000148737,Q9NQB0,uniprot_swissprot,0.6507785787753966
18,NEUROD1,ENSG00000162992,Q13562,uniprot_swissprot,0.6472057394175231
19,DPP4,ENSG00000197635,P27487,uniprot_swissprot,0.6378824660509982
20,CDKAL1,ENSG00000145996,Q5VV42,uniprot_swissprot,0.6322563688136156
21,NDUFS3,ENSG00000213619,O75489,uniprot_swissprot,0.6237135684109646
22,SLC5A2,ENSG00000140675,P31639,uniprot_swissprot,0.6222314310456489
23,HMGCR,ENSG00000113161,P04035,uniprot_swissprot,0.6200789312683348
24,NDUFS4,ENSG00000164258,O43181,uniprot_swissprot,0.6188506743198477
25,PDE3A,ENSG00000172572,Q14432,uniprot_swissprot,0.6171545244804653
26,NDUFA13,ENSG00000186010,Q9P0J0,uniprot_swissprot,0.6129157523645903
27,NDUFS5,ENSG00000168653,O43920,uniprot_swissprot,0.6127367884450091
28,NDUFAB1,ENSG00000004779,O14561,uniprot_swissprot,0.6120782331919505
29,ENPP1,ENSG00000197594,P22413,uniprot_swissprot,0.6112139799873848
30,NDUFB6,ENSG00000165264,O95139,uniprot_swissprot,0.6104053679014627
31,NDUFAF3,ENSG00000178057,Q9BU61,uniprot_swissprot,0.6100455439911847
32,MT-ND4L,ENSG00000212907,P03901,uniprot_swissprot,0.609906951545678
33,MT-ND6,ENSG00000198695,P03923,uniprot_swissprot,0.6098556210103051
34,NDUFC2,ENSG00000151366,O95298,uniprot_swissprot,0.6092139893181441
35,NDUFS1,ENSG00000023228,P28331,uniprot_swissprot,0.6083824346451036
36,MT-ND4,ENSG00000198886,P03905,uniprot_swissprot,0.6080128547904189
37,SLC30A8,ENSG00000164756,Q8IWU4,uniprot_swissprot,0.6078702945743489
38,NDUFA12,ENSG00000184752,Q9UI09,uniprot_swissprot,0.6078280648630765
39,MT-ND2,ENSG00000198763,P03891,uniprot_swissprot,0.6078280648630765
40,NDUFAF2,ENSG00000164182,Q8N183,uniprot_swissprot,0.6078280648630765
41,NDUFB5,ENSG00000136521,O43674,uniprot_swissprot,0.6078280648630765
42,NDUFB9,ENSG00000147684,Q9Y6M9,uniprot_swissprot,0.6078280648630765
43,MT-ND5,ENSG00000198786,P03915,uniprot_swissprot,0.6078280648630765
44,PAX4,ENSG00000106331,O43316,uniprot_swissprot,0.6075882811820085
45,NDUFS6,ENSG00000145494,O75380,uniprot_swissprot,0.6074584850083918
46,NDUFB2,ENSG00000090266,O95178,uniprot_swissprot,0.6074584850083918
47,NDUFB1,ENSG00000183648,O75438,uniprot_swissprot,0.6074584850083918
48,NDUFA1,ENSG00000125356,O15239,uniprot_swissprot,0.6074584850083918
49,NDUFB10,ENSG00000140990,O96000,uniprot_swissprot,0.6074584850083918
50,NDUFAF4,ENSG00000123545,Q9P032,uniprot_swissprot,0.6074584850083918
51,NDUFB7,ENSG00000099795,P17568,uniprot_swissprot,0.6074584850083918
52,NDUFS8,ENSG00000110717,O00217,uniprot_swissprot,0.6074584850083918
53,NDUFA10,ENSG00000130414,O95299,uniprot_swissprot,0.6074584850083918
54,NDUFB8,ENSG00000166136,O95169,uniprot_swissprot,0.6074584850083918
55,NDUFA11,ENSG00000174886,Q86Y39,uniprot_swissprot,0.6074584850083918
56,NDUFA2,ENSG00000131495,O43678,uniprot_swissprot,0.6074584850083918
57,NDUFA7,ENSG00000267855,O95182,uniprot_swissprot,0.6074584850083918
58,NDUFC1,ENSG00000109390,O43677,uniprot_swissprot,0.6074584850083918
59,NDUFV2,ENSG00000178127,P19404,uniprot_swissprot,0.6074584850083918
60,NDUFA6,ENSG00000184983,P56556,uniprot_swissprot,0.6074584850083918
61,NDUFA9,ENSG00000139180,Q16795,uniprot_swissprot,0.6074584850083918
62,NDUFV1,ENSG00000167792,P49821,uniprot_swissprot,0.6074584850083918
63,MT-ND3,ENSG00000198840,P03897,uniprot_swissprot,0.6074584850083918
64,NDUFA4,ENSG00000189043,O00483,uniprot_swissprot,0.6074584850083918
65,NDUFV3,ENSG00000160194,P56181,uniprot_swissprot,0.6074584850083918
66,NDUFA4L2,ENSG00000185633,Q9NRX3,uniprot_swissprot,0.6074584850083918
67,NDUFA8,ENSG00000119421,P51970,uniprot_swissprot,0.6074584850083918
68,NDUFB3,ENSG00000119013,O43676,uniprot_swissprot,0.6074584850083918
69,NDUFS7,ENSG00000115286,O75251,uniprot_swissprot,0.6074584850083918
70,NDUFAF1,ENSG00000137806,Q9Y375,uniprot_swissprot,0.6074584850083918
71,NDUFB11,ENSG00000147123,Q9NX14,uniprot_swissprot,0.6074584850083918
72,NDUFB4,ENSG00000065518,O95168,uniprot_swissprot,0.6074584850083918
73,NDUFA5,ENSG00000128609,Q16718,uniprot_swissprot,0.6074584850083918
74,NDUFS2,ENSG00000158864,O75306,uniprot_swissprot,0.6074584850083918
75,NDUFA3,ENSG00000170906,O95167,uniprot_swissprot,0.6074584850083918
76,PPARA,ENSG00000186951,Q07869,uniprot_swissprot,0.6044732224355119
77,MGAM,ENSG00000257335,O43451,uniprot_swissprot,0.60298664453111
78,KCNQ1,ENSG00000053918,P51787,uniprot_swissprot,0.602773196207474
79,AMY2A,ENSG00000243480,P04746,uniprot_swissprot,0.6006226576046337
80,INS,ENSG00000254647,P01308,uniprot_swissprot,0.5872008854268835
81,AGTR1,ENSG00000144891,P30556,uniprot_swissprot,0.586530770265523
82,PTGS2,ENSG00000073756,P35354,uniprot_swissprot,0.5824025215336607
83,GAA,ENSG00000171298,P10253,uniprot_swissprot,0.5771430920543438
84,PTGS1,ENSG00000095303,P23219,uniprot_swissprot,0.57371442932231
85,SI,ENSG00000090402,P14410,uniprot_swissprot,0.5715036937387554
86,DRD2,ENSG00000149295,P14416,uniprot_swissprot,0.5678379657115131
87,MGAM2,ENSG00000257743,Q2M2H8,uniprot_swissprot,0.5640328015898277
