,Protein,ENSG,UniProt,Source,Score
88,DRD3,ENSG00000151577,P35462,uniprot_swissprot,0.5640188846865947
89,DRD4,ENSG00000069696,P21917,uniprot_swissprot,0.5612983663118323
90,MTNR1B,ENSG00000134640,P49286,uniprot_swissprot,0.5568179450774506
91,VDR,ENSG00000111424,P11473,uniprot_swissprot,0.5557495963520638
92,NPC1L1,ENSG00000015520,Q9UHC9,uniprot_swissprot,0.5494522696562415
93,GLIS3,ENSG00000107249,Q8NEA6,uniprot_swissprot,0.5487604495669576
94,IRS1,ENSG00000169047,P35568,uniprot_swissprot,0.5484162823142715
95,SLC12A3,ENSG00000070915,P55017,uniprot_swissprot,0.5372679763094738
96,JAZF1,ENSG00000153814,Q86VZ6,uniprot_swissprot,0.5262058137195926
97,CACNA1D,ENSG00000157388,Q01668,uniprot_swissprot,0.524511339143215
98,HTR3B,ENSG00000149305,O95264,uniprot_swissprot,0.5226161933994226
99,CACNA1C,ENSG00000151067,Q13936,uniprot_swissprot,0.5210110274490524
100,RASGRP1,ENSG00000172575,O95267,uniprot_swissprot,0.5191066562009568
101,CACNA1S,ENSG00000081248,Q13698,uniprot_swissprot,0.5190181280471695
102,CACNA1F,ENSG00000102001,O60840,uniprot_swissprot,0.5190181280471695
103,BCL2,ENSG00000171791,P10415,uniprot_swissprot,0.5188149115338705
104,CMIP,ENSG00000153815,Q8IY22,uniprot_swissprot,0.5174088585032696
105,PDX1,ENSG00000139515,P52945,uniprot_swissprot,0.5167138721902544
106,TLE1,ENSG00000196781,Q04724,uniprot_swissprot,0.5149198492252666
107,DGKB,ENSG00000136267,Q9Y6T7,uniprot_swissprot,0.513829536907745
108,ADCY5,ENSG00000173175,O95622,uniprot_swissprot,0.5121901930627571
109,CDKN2B,ENSG00000147883,P42772,uniprot_swissprot,0.5120281008295771
110,IGF2BP2,ENSG00000073792,Q9Y6M1,uniprot_swissprot,0.5111127046149821
111,ETS1,ENSG00000134954,P14921,uniprot_swissprot,0.511106153860376
112,LAMA1,ENSG00000101680,P25391,uniprot_swissprot,0.5108824279305231
113,RFX6,ENSG00000185002,Q8HWS3,uniprot_swissprot,0.5103508632776893
114,NFATC2,ENSG00000101096,Q13469,uniprot_swissprot,0.5054586339550683
115,CCND2,ENSG00000118971,P30279,uniprot_swissprot,0.5028145858536925
116,PAM,ENSG00000145730,P19021,uniprot_swissprot,0.5019273478792812
117,EDNRA,ENSG00000151617,P25101,uniprot_swissprot,0.500853908097269
118,MC4R,ENSG00000166603,P32245,uniprot_swissprot,0.5006158385120347
119,TFAP2B,ENSG00000008196,Q92481,uniprot_swissprot,0.4993823960433613
120,HMGA2,ENSG00000149948,P52926,uniprot_swissprot,0.49890358985334254
121,RREB1,ENSG00000124782,Q92766,uniprot_swissprot,0.49809771798560026
122,EDNRB,ENSG00000136160,P24530,uniprot_swissprot,0.497667506127406
123,PROX1,ENSG00000117707,Q92786,uniprot_swissprot,0.4956807007631422
124,WSCD2,ENSG00000075035,Q2TBF2,uniprot_swissprot,0.494840721368065
125,KSR2,ENSG00000171435,Q6VAB6,uniprot_swissprot,0.49476592576614414
126,ANKH,ENSG00000154122,Q9HCJ1,uniprot_swissprot,0.4926778510083443
127,HHEX,ENSG00000152804,Q03014,uniprot_swissprot,0.4898244652302839
128,NUS1,ENSG00000153989,Q96E22,uniprot_swissprot,0.4875831112267537
129,ARL15,ENSG00000185305,Q9NXU5,uniprot_swissprot,0.48685392665732113
130,LRMDA,ENSG00000148655,Q9H2I8,uniprot_swissprot,0.48653597466077314
131,PCSK9,ENSG00000169174,Q8NBP7,uniprot_swissprot,0.48592465385869166
132,LRFN2,ENSG00000156564,Q9ULH4,uniprot_swissprot,0.48292244349365215
133,PNPLA3,ENSG00000100344,Q9NST1,uniprot_swissprot,0.48097256116549275
134,NEUROG3,ENSG00000122859,Q9Y4Z2,uniprot_swissprot,0.48071171957527903
135,FBXW7,ENSG00000109670,Q969H0,uniprot_swissprot,0.47756854803228826
136,NOS2,ENSG00000007171,P35228,uniprot_swissprot,0.47753828328993536
137,HIVEP2,ENSG00000010818,P31629,uniprot_swissprot,0.47706440595207805
138,LIPC,ENSG00000166035,P11150,uniprot_swissprot,0.4766679544784706
139,UBE2E2,ENSG00000182247,Q96LR5,uniprot_swissprot,0.47410879468283806
140,UBE3C,ENSG00000009335,Q15386,uniprot_swissprot,0.47385492157007547
141,RNF6,ENSG00000127870,Q9Y252,uniprot_swissprot,0.47358490465657926
142,CCND1,ENSG00000110092,P24385,uniprot_swissprot,0.472411487008684
143,SLC1A2,ENSG00000110436,P43004,uniprot_swissprot,0.4721780590012749
144,ST6GAL1,ENSG00000073849,P15907,uniprot_swissprot,0.47099557551962673
145,PNLIP,ENSG00000175535,P16233,uniprot_swissprot,0.4706673283121391
146,ACSL1,ENSG00000151726,P33121,uniprot_swissprot,0.46962191788365987
147,C2CD4A,ENSG00000198535,Q8NCU7,uniprot_swissprot,0.46851229140692363
148,SLC12A8,ENSG00000221955,A0AV02,uniprot_swissprot,0.46833631358859584
149,HTR3D,ENSG00000186090,Q70Z44,uniprot_swissprot,0.4677752344556329
150,GP2,ENSG00000169347,P55259,uniprot_swissprot,0.46722137688987386
151,SLC5A1,ENSG00000100170,P13866,uniprot_swissprot,0.4671325073554709
152,LIPF,ENSG00000182333,P07098,uniprot_swissprot,0.4665996077330886
153,FTO,ENSG00000140718,Q9C0B1,uniprot_swissprot,0.46473739278832804
154,EYA2,ENSG00000064655,O00167,uniprot_swissprot,0.4639569244126357
155,HTR4,ENSG00000164270,Q13639,uniprot_swissprot,0.46308355791993133
156,GPSM1,ENSG00000160360,Q86YR5,uniprot_swissprot,0.46203908103966596
157,HTR3A,ENSG00000166736,P46098,uniprot_swissprot,0.4619748183558772
158,HTR3E,ENSG00000186038,A5X5Y0,uniprot_swissprot,0.4619748183558772
159,HTR3C,ENSG00000178084,Q8WXA8,uniprot_swissprot,0.4619748183558772
160,ITGA1,ENSG00000213949,P56199,uniprot_swissprot,0.46101062995828507
161,SLC22A3,ENSG00000146477,O75751,uniprot_swissprot,0.4609996716374896
162,NRXN3,ENSG00000021645,Q9HDB5,uniprot_swissprot,0.4607745695033068
163,NRXN3,ENSG00000021645,Q9Y4C0,uniprot_swissprot,0.4607745695033068
164,ETV1,ENSG00000006468,P50549,uniprot_swissprot,0.46043816974759777
165,PARP8,ENSG00000151883,Q8N3A8,uniprot_swissprot,0.45801737201669024
166,PLEKHA1,ENSG00000107679,Q9HB21,uniprot_swissprot,0.45752116972599677
167,ZMIZ1,ENSG00000108175,Q9ULJ6,uniprot_swissprot,0.45695750469484875
168,TSPAN8,ENSG00000127324,P19075,uniprot_swissprot,0.45579660145639805
169,XDH,ENSG00000158125,P47989,uniprot_swissprot,0.45517604632664765
170,LNX1,ENSG00000072201,Q8TBB1,uniprot_swissprot,0.4535214400112701
171,IGF2,ENSG00000167244,P01344,uniprot_swissprot,0.4518041415808972
172,ADAMTS9,ENSG00000163638,Q9P2N4,uniprot_swissprot,0.45062293749484894
173,KLHL42,ENSG00000087448,Q9P2K6,uniprot_swissprot,0.45042414891969423
174,RGS17,ENSG00000091844,Q9UGC6,uniprot_swissprot,0.4503806383575734
175,IGF1R,ENSG00000140443,P08069,uniprot_swissprot,0.45026608790813816
176,ZNF236,ENSG00000130856,Q9UL36,uniprot_swissprot,0.44867621560163623
177,KLF14,ENSG00000266265,Q8TD94,uniprot_swissprot,0.4428307271713323
178,P2RY12,ENSG00000169313,Q9H244,uniprot_swissprot,0.4414733666573712
179,AUTS2,ENSG00000158321,Q8WXX7,uniprot_swissprot,0.4399487866072543
180,STEAP2,ENSG00000157214,Q8NFT2,uniprot_swissprot,0.4388821195428722
181,CASR,ENSG00000036828,P41180,uniprot_swissprot,0.43849667130330605
182,BEND7,ENSG00000165626,Q8N7W2,uniprot_swissprot,0.43803359378573714
183,NKX6-3,ENSG00000165066,A6NJ46,uniprot_swissprot,0.43789211718040216
184,SPHKAP,ENSG00000153820,Q2M3C7,uniprot_swissprot,0.4370425008083541
185,BCL2L11,ENSG00000153094,O43521,uniprot_swissprot,0.4338876530601849
186,PPIP5K2,ENSG00000145725,O43314,uniprot_swissprot,0.4331772807617409
187,NOS1,ENSG00000089250,P29475,uniprot_swissprot,0.4325595375848609
188,PURG,ENSG00000172733,Q9UJV8,uniprot_swissprot,0.4308697914974531
189,TET2,ENSG00000168769,Q6N021,uniprot_swissprot,0.4308480591580029
190,MYC,ENSG00000136997,P01106,uniprot_swissprot,0.4303601627160843
191,NOTCH2,ENSG00000134250,Q04721,uniprot_swissprot,0.42878593150097777
192,LPL,ENSG00000175445,P06858,uniprot_swissprot,0.4260997003847057
193,NKX6-1,ENSG00000163623,P78426,uniprot_swissprot,0.4256333898532049
194,GIGYF1,ENSG00000146830,O75420,uniprot_swissprot,0.42559749140107905
195,SSPN,ENSG00000123096,Q14714,uniprot_swissprot,0.4251770118651943
196,LRRC74A,ENSG00000100565,Q0VAA2,uniprot_swissprot,0.42484569568357544
197,RICTOR,ENSG00000164327,Q6R327,uniprot_swissprot,0.42419118350394414
198,BEND3,ENSG00000178409,Q5T5X7,uniprot_swissprot,0.4239042908850627
199,BDNF,ENSG00000176697,P23560,uniprot_swissprot,0.42206082050058336
200,TNS1,ENSG00000079308,Q9HBL0,uniprot_swissprot,0.4207927011709528
201,KCNK17,ENSG00000124780,Q96T54,uniprot_swissprot,0.4194800625227692
202,PDE8B,ENSG00000113231,O95263,uniprot_swissprot,0.4189124535872561
203,ZBTB38,ENSG00000177311,Q8NAP3,uniprot_swissprot,0.41840134616426095
204,PDGFC,ENSG00000145431,Q9NRA1,uniprot_swissprot,0.4166519316574999
205,LCORL,ENSG00000178177,Q8N3X6,uniprot_swissprot,0.4162111023530485
206,KIF11,ENSG00000138160,P52732,uniprot_swissprot,0.41533659282464636
207,ZEB2,ENSG00000169554,O60315,uniprot_swissprot,0.4152974067829042
208,KL,ENSG00000133116,Q9UEF7,uniprot_swissprot,0.4134270374562056
209,SINHCAF,ENSG00000139146,Q9NP50,uniprot_swissprot,0.41336514886991793
210,TCF4,ENSG00000196628,P15884,uniprot_swissprot,0.41318385643178557
211,SEC16B,ENSG00000120341,Q96JE7,uniprot_swissprot,0.41297759090000813
212,MYO5C,ENSG00000128833,Q9NQX4,uniprot_swissprot,0.4124320644063377
213,SPRED2,ENSG00000198369,Q7Z698,uniprot_swissprot,0.4111298531322701
214,TMEM18,ENSG00000151353,Q96B42,uniprot_swissprot,0.41081060612641024
215,C10orf67,ENSG00000179133,Q8IYJ2,uniprot_swissprot,0.40974811055209304
216,ADIPOQ,ENSG00000181092,Q15848,uniprot_swissprot,0.4093937047824573
217,SLC2A4,ENSG00000181856,P14672,uniprot_swissprot,0.4092585359303494
218,CTTNBP2,ENSG00000077063,Q8WZ74,uniprot_swissprot,0.40923227805030155
219,UNC5C,ENSG00000182168,O95185,uniprot_swissprot,0.40901785321321305
220,PPP1R3A,ENSG00000154415,Q16821,uniprot_swissprot,0.40875171731279303
221,GTF2I,ENSG00000263001,P78347,uniprot_swissprot,0.4086291066169838
222,LEPR,ENSG00000116678,P48357,uniprot_swissprot,0.40848139576335635
223,SCD5,ENSG00000145284,Q86SK9,uniprot_swissprot,0.4078310327490127
224,TSHZ2,ENSG00000182463,Q9NRE2,uniprot_swissprot,0.4077590796739644
225,KCNJ8,ENSG00000121361,Q15842,uniprot_swissprot,0.40775664919065535
226,LINGO2,ENSG00000174482,Q7L985,uniprot_swissprot,0.4067503449317022
227,MSRA,ENSG00000175806,Q9UJ68,uniprot_swissprot,0.4065465933944204
228,TSHZ3,ENSG00000121297,Q63HK5,uniprot_swissprot,0.40594082207615023
229,PDE2A,ENSG00000186642,O00408,uniprot_swissprot,0.4057715731617654
230,APOE,ENSG00000130203,P02649,uniprot_swissprot,0.405485601078956
231,JADE2,ENSG00000043143,Q9NQC1,uniprot_swissprot,0.4051029365831508
232,PGM1,ENSG00000079739,P36871,uniprot_swissprot,0.40495780856603764
233,COBLL1,ENSG00000082438,Q53SF7,uniprot_swissprot,0.4046214177551381
234,CERKL,ENSG00000188452,Q49MI3,uniprot_swissprot,0.4041199752739772
235,DMRT2,ENSG00000173253,Q9Y5R5,uniprot_swissprot,0.40357320956171633
236,TRPV1,ENSG00000196689,Q8NER1,uniprot_swissprot,0.40278690219391294
237,HMG20A,ENSG00000140382,Q9NP66,uniprot_swissprot,0.4011857147361996
238,ADRB1,ENSG00000043591,P08588,uniprot_swissprot,0.3999661586586936
239,PDE4D,ENSG00000113448,Q08499,uniprot_swissprot,0.39967607677047895
240,PEAK1,ENSG00000173517,Q9H792,uniprot_swissprot,0.3996384250824036
241,ZBED3,ENSG00000132846,Q96IU2,uniprot_swissprot,0.3995540458855382
242,TPCN2,ENSG00000162341,Q8NHX9,uniprot_swissprot,0.3994481126380042
243,MAPK8IP1,ENSG00000121653,Q9UQF2,uniprot_swissprot,0.39886799881034096
244,SSR1,ENSG00000124783,P43307,uniprot_swissprot,0.3986795271204647
245,P2RY1,ENSG00000169860,P47900,uniprot_swissprot,0.3985095892980022
246,ARAP1,ENSG00000186635,Q96P48,uniprot_swissprot,0.398380525162555
247,EBF2,ENSG00000221818,Q9HAK2,uniprot_swissprot,0.3981201246439754
248,NCR3LG1,ENSG00000188211,Q68D85,uniprot_swissprot,0.3979706618704467
249,PDE5A,ENSG00000138735,O76074,uniprot_swissprot,0.39720704171387494
250,VPS13C,ENSG00000129003,Q709C8,uniprot_swissprot,0.3963505692997086
251,KCNU1,ENSG00000215262,A8MYU2,uniprot_swissprot,0.39621057017833133
252,RSPO3,ENSG00000146374,Q9BXY4,uniprot_swissprot,0.3961125247020175
253,SCN4A,ENSG00000007314,P35499,uniprot_swissprot,0.3947893290862133
254,SLC16A13,ENSG00000174327,Q7RTY0,uniprot_swissprot,0.39464834608383353
255,PDE4B,ENSG00000184588,Q07343,uniprot_swissprot,0.3943827693768751
256,PDE4A,ENSG00000065989,P27815,uniprot_swissprot,0.394347348164782
257,CNR1,ENSG00000118432,P21554,uniprot_swissprot,0.3943147298584304
258,FGFR4,ENSG00000160867,P22455,uniprot_swissprot,0.3938750021754678
259,FOXK1,ENSG00000164916,P85037,uniprot_swissprot,0.3931713385334176
260,SLC22A12,ENSG00000197891,Q96S37,uniprot_swissprot,0.39281205499446514
261,PDE4C,ENSG00000105650,Q08493,uniprot_swissprot,0.3921652902487669
262,CRHR2,ENSG00000106113,Q13324,uniprot_swissprot,0.3917327055024384
263,INPPL1,ENSG00000165458,O15357,uniprot_swissprot,0.3904846511640383
264,RELN,ENSG00000189056,P78509,uniprot_swissprot,0.3900986566304395
265,CTBP1,ENSG00000159692,Q13363,uniprot_swissprot,0.38973969063438624
266,NOS3,ENSG00000164867,P29474,uniprot_swissprot,0.3894718455268778
267,TET1,ENSG00000138336,Q8NFU7,uniprot_swissprot,0.38926236108282736
268,NLGN1,ENSG00000169760,Q8N2Q7,uniprot_swissprot,0.38914683099665626
269,WT1,ENSG00000184937,P19544,uniprot_swissprot,0.38885977637277275
270,RBMS1,ENSG00000153250,P29558,uniprot_swissprot,0.3888348085467787
271,SCN5A,ENSG00000183873,Q14524,uniprot_swissprot,0.3887429111897149
272,THADA,ENSG00000115970,Q6YHU6,uniprot_swissprot,0.38846806027055186
273,SETD5,ENSG00000168137,Q9C0A6,uniprot_swissprot,0.38779431863374797
274,NEGR1,ENSG00000172260,Q7Z3B1,uniprot_swissprot,0.3877551522059604
275,MAML3,ENSG00000196782,Q96JK9,uniprot_swissprot,0.3875673385222037
276,SGIP1,ENSG00000118473,Q9BQI5,uniprot_swissprot,0.38750426338600746
277,COL27A1,ENSG00000196739,Q8IZC6,uniprot_swissprot,0.3873358101009825
278,C2CD4B,ENSG00000205502,A6NLJ0,uniprot_swissprot,0.3858073892472472
279,MBNL1,ENSG00000152601,Q9NR56,uniprot_swissprot,0.3857953802947956
280,ID4,ENSG00000172201,P47928,uniprot_swissprot,0.3856481320453324
281,GRID1,ENSG00000182771,Q9ULK0,uniprot_swissprot,0.38517163036766555
282,SGCG,ENSG00000102683,Q13326,uniprot_swissprot,0.3843397858284804
283,DLEU7,ENSG00000186047,Q6UYE1,uniprot_swissprot,0.3843049119232005
284,FAAH,ENSG00000117480,O00519,uniprot_swissprot,0.38359309084149673
285,CDKN2A,ENSG00000147889,P42771,uniprot_swissprot,0.38290613827637177
286,CDKN2A,ENSG00000147889,Q8N726,uniprot_swissprot,0.38290613827637177
287,ADORA2A,ENSG00000128271,P29274,uniprot_swissprot,0.38284930824125796
288,CRY2,ENSG00000121671,Q49AN0,uniprot_swissprot,0.38234840737547693
289,TRHR,ENSG00000174417,P34981,uniprot_swissprot,0.38230433935522906
290,PPARD,ENSG00000112033,Q03181,uniprot_swissprot,0.3822066591744166
291,ZFP36L2,ENSG00000152518,P47974,uniprot_swissprot,0.38195828910194524
292,ADORA2B,ENSG00000170425,P29275,uniprot_swissprot,0.3813345472850902
293,ONECUT1,ENSG00000169856,Q9UBC0,uniprot_swissprot,0.3794904061723182
294,CLEC14A,ENSG00000176435,Q86T13,uniprot_swissprot,0.3790506955641917
295,EXOC6,ENSG00000138190,Q8TAG9,uniprot_swissprot,0.37857079238285973
296,ZNRF3,ENSG00000183579,Q9ULT6,uniprot_swissprot,0.37854876367093004
297,PDE3B,ENSG00000152270,Q13370,uniprot_swissprot,0.3780651025741114
298,ANKDD1B,ENSG00000189045,A6NHY2,uniprot_swissprot,0.3776837714518242
299,ZC3H12C,ENSG00000149289,Q9C0D7,uniprot_swissprot,0.37754955979380367
300,CHRNA4,ENSG00000101204,P43681,uniprot_swissprot,0.37743727638690466
301,PRC1,ENSG00000198901,O43663,uniprot_swissprot,0.37725631482011773
302,FOCAD,ENSG00000188352,Q5VW36,uniprot_swissprot,0.37670360773407724
303,ABCB10,ENSG00000135776,Q9NRK6,uniprot_swissprot,0.3758599248617947
304,SCN3A,ENSG00000153253,Q9NY46,uniprot_swissprot,0.37521594458161417
305,BCL11A,ENSG00000119866,Q9H165,uniprot_swissprot,0.37476288796789914
306,INS-IGF2,ENSG00000129965,F8WCM5,uniprot_swissprot,0.3745335620316232
307,CDC123,ENSG00000151465,O75794,uniprot_swissprot,0.3736485309095467
308,LIPH,ENSG00000163898,Q8WWY8,uniprot_swissprot,0.37330260892928213
309,CHRNB2,ENSG00000160716,P17787,uniprot_swissprot,0.37235170359483705
310,PKHD1,ENSG00000170927,P08F94,uniprot_swissprot,0.3718638887724418
311,CCKAR,ENSG00000163394,P32238,uniprot_swissprot,0.3718168104323071
312,FAIM2,ENSG00000135472,Q9BWQ8,uniprot_swissprot,0.3717093935261024
313,PDE1A,ENSG00000115252,P54750,uniprot_swissprot,0.3714277539581253
314,PTGIR,ENSG00000160013,P43119,uniprot_swissprot,0.3714277539581253
315,S1PR1,ENSG00000170989,P21453,uniprot_swissprot,0.3706854117555628
316,JARID2,ENSG00000008083,Q92833,uniprot_swissprot,0.3705971952357915
317,PDE1C,ENSG00000154678,Q14123,uniprot_swissprot,0.37050380432141355
318,PDE7B,ENSG00000171408,Q9NP56,uniprot_swissprot,0.3704114093577423
319,S1PR2,ENSG00000267534,O95136,uniprot_swissprot,0.37022661943040003
320,PCGF3,ENSG00000185619,Q3KNV8,uniprot_swissprot,0.37015625579591505
321,IGF2BP1,ENSG00000159217,Q9NZI8,uniprot_swissprot,0.3701026876335318
322,CYTIP,ENSG00000115165,O60759,uniprot_swissprot,0.36993991890034905
323,ZNF799,ENSG00000196466,Q96GE5,uniprot_swissprot,0.3697452438420922
324,PDE10A,ENSG00000112541,Q9Y233,uniprot_swissprot,0.3695798546847018
325,PDE9A,ENSG00000160191,O76083,uniprot_swissprot,0.3695798546847018
326,PDE6G,ENSG00000185527,P18545,uniprot_swissprot,0.3695798546847018
327,PDE8A,ENSG00000073417,O60658,uniprot_swissprot,0.3695798546847018
328,PDE6D,ENSG00000156973,O43924,uniprot_swissprot,0.3695798546847018
329,S1PR5,ENSG00000180739,Q9H228,uniprot_swissprot,0.3695798546847018
330,PDE6B,ENSG00000133256,P35913,uniprot_swissprot,0.3695798546847018
331,S1PR3,ENSG00000213694,Q99500,uniprot_swissprot,0.3695798546847018
332,PDE6H,ENSG00000139053,Q13956,uniprot_swissprot,0.3695798546847018
333,PDE7A,ENSG00000205268,Q13946,uniprot_swissprot,0.3695798546847018
334,PDE6A,ENSG00000132915,P16499,uniprot_swissprot,0.3695798546847018
335,MCF2L2,ENSG00000053524,Q86YR7,uniprot_swissprot,0.3695798546847018
