,Protein,ENSG,UniProt,Source,Score,disease_id
0,NOD2,ENSG00000167207,Q9HC29,uniprot_swissprot,0.8710539296840545,EFO_0003767
1,IL10RA,ENSG00000110324,Q13651,uniprot_swissprot,0.816942595062139,EFO_0003767
2,IL10RB,ENSG00000243646,Q08334,uniprot_swissprot,0.7874693386311618,EFO_0003767
3,ADAM17,ENSG00000151694,P78536,uniprot_swissprot,0.7126027420180833,EFO_0003767
4,ITGA4,ENSG00000115232,P13612,uniprot_swissprot,0.7058047264840985,EFO_0003767
5,IL12B,ENSG00000113302,P29460,uniprot_swissprot,0.7010772680723982,EFO_0003767
