approvedSymbol,Druggable Family,ENSG
DMRTC2,No,ENSG00000142025
ERVK3-1,No,ENSG00000142396
C1orf43,No,ENSG00000143612
TRPC1,Yes,ENSG00000144935
CRHBP,No,ENSG00000145708
PGM5,No,ENSG00000154330
MED7,No,ENSG00000155868
C8A,No,ENSG00000157131
FEV,No,ENSG00000163497
WDFY3,No,ENSG00000163625
TPP1,No,ENSG00000166340
MTMR10,No,ENSG00000166912
TP53I13,No,ENSG00000167543
TMUB2,No,ENSG00000168591
KIAA0232,No,ENSG00000170871
B3GALT1,No,ENSG00000172318
RASGRP1,No,ENSG00000172575
EIF1AX,No,ENSG00000173674
FUT1,No,ENSG00000174951
ZG16,No,ENSG00000174992
CRACR2B,No,ENSG00000177685
DPM3,No,ENSG00000179085
MXRA7,No,ENSG00000182534
TTC3,No,ENSG00000182670
ABAT,Yes,ENSG00000183044
UTP11,No,ENSG00000183520
POU3F2,No,ENSG00000184486
LCN12,No,ENSG00000184925
PRMT3,Yes,ENSG00000185238
EFCAB6,No,ENSG00000186976
P2RX2,Yes,ENSG00000187848
TCF4,No,ENSG00000196628
OR14A16,No,ENSG00000196772
ARRDC1,No,ENSG00000197070
PCNX3,No,ENSG00000197136
UAP1L1,No,ENSG00000197355
OR5B21,No,ENSG00000198283
TMEM239,No,ENSG00000198326
ZNF442,No,ENSG00000198342
PIM3,Yes,ENSG00000198355
SLC9A6,No,ENSG00000198689
MBD5,No,ENSG00000204406
PRR20B,No,ENSG00000204918
TRAJ31,No,ENSG00000211858
HBE1,No,ENSG00000213931
GAGE12D,No,ENSG00000227488
MBD3L2,No,ENSG00000230522
AMY2A,Yes,ENSG00000243480
PCDHAC1,No,ENSG00000248383
TNFSF12-TNFSF13,No,ENSG00000248871
DENND11,No,ENSG00000257093
SNURF,No,ENSG00000273173
IGKV2-40,No,ENSG00000273962
ELOVL5,No,ENSG00000012660
THRAP3,No,ENSG00000054118
MPC1,No,ENSG00000060762
TIMM21,No,ENSG00000075336
MARK3,Yes,ENSG00000075413
MEF2C,No,ENSG00000081189
MAPRE3,No,ENSG00000084764
ZFHX4,No,ENSG00000091656
EIF3L,No,ENSG00000100129
RIMS4,No,ENSG00000101098
NFAT5,No,ENSG00000102908
CCP110,No,ENSG00000103540
PHF14,No,ENSG00000106443
ANKRD26,No,ENSG00000107890
WSB1,No,ENSG00000109046
CLNK,No,ENSG00000109684
NAA40,No,ENSG00000110583
CEP85L,No,ENSG00000111860
GPLD1,No,ENSG00000112293
SPARC,No,ENSG00000113140
FAF2,No,ENSG00000113194
WNT5A,No,ENSG00000114251
PFKFB4,No,ENSG00000114268
IGSF21,No,ENSG00000117154
PIK3CA,Yes,ENSG00000121879
HOXA7,No,ENSG00000122592
MTRR,No,ENSG00000124275
ZNF20,No,ENSG00000132010
ERAL1,No,ENSG00000132591
KL,No,ENSG00000133116
CAMK1,Yes,ENSG00000134072
TOR1A,No,ENSG00000136827
CMTR1,No,ENSG00000137200
SLC22A7,Yes,ENSG00000137204
RPS24,No,ENSG00000138326
BBS7,No,ENSG00000138686
SLC39A5,No,ENSG00000139540
CLEC18B,No,ENSG00000140839
RPS2,No,ENSG00000140988
GALNT1,No,ENSG00000141429
ERBB2,Yes,ENSG00000141736
ITGA10,No,ENSG00000143127
THSD7B,No,ENSG00000144229
DCDC2,No,ENSG00000146038
PLIN2,No,ENSG00000147872
FEZ1,No,ENSG00000149557
CAST,No,ENSG00000153113
PDIA4,No,ENSG00000155660
