approvedSymbol,Druggable Family,ENSG
TARBP1,No,ENSG00000059588
SPTB,No,ENSG00000070182
SMG6,No,ENSG00000070366
ADGRL1,No,ENSG00000072071
NLE1,No,ENSG00000073536
WNT8B,No,ENSG00000075290
P2RX5,Yes,ENSG00000083454
EPYC,No,ENSG00000083782
IPO11,No,ENSG00000086200
SRRT,No,ENSG00000087087
ERGIC2,No,ENSG00000087502
SUPT16H,No,ENSG00000092201
PSMA3,Yes,ENSG00000100567
NKAIN4,No,ENSG00000101198
SLC25A14,No,ENSG00000102078
VPS35L,No,ENSG00000103544
HPN,No,ENSG00000105707
DNAJB6,No,ENSG00000105993
HOXA6,No,ENSG00000106006
IQCE,No,ENSG00000106012
TLX1,No,ENSG00000107807
MRPL27,No,ENSG00000108826
PDE1A,Yes,ENSG00000115252
ABCB6,No,ENSG00000115657
TPO,Yes,ENSG00000115705
ATF2,No,ENSG00000115966
TRIM62,No,ENSG00000116525
SLC8A2,No,ENSG00000118160
ZBTB45,No,ENSG00000119574
EPCAM,No,ENSG00000119888
SEC16B,No,ENSG00000120341
OR2B6,No,ENSG00000124657
NALF2,No,ENSG00000130054
OASL,No,ENSG00000135114
SPDYE1,No,ENSG00000136206
TPGS1,No,ENSG00000141933
LMO4,No,ENSG00000143013
MGST3,No,ENSG00000143198
ACKR2,Yes,ENSG00000144648
IQSEC1,No,ENSG00000144711
GIN1,No,ENSG00000145723
ZC3HAV1L,No,ENSG00000146858
ITGB1BP2,No,ENSG00000147166
PMP2,No,ENSG00000147588
FBXO10,No,ENSG00000147912
OR13C4,No,ENSG00000148136
KCTD15,No,ENSG00000153885
ATP5MJ,No,ENSG00000156411
ZC3H18,No,ENSG00000158545
COA7,No,ENSG00000162377
TDRD5,No,ENSG00000162782
CRYGC,No,ENSG00000163254
SLC15A2,Yes,ENSG00000163406
TCP11L2,No,ENSG00000166046
MOBP,No,ENSG00000168314
SLC16A5,No,ENSG00000170190
NFRKB,No,ENSG00000170322
RALGAPB,No,ENSG00000170471
TSEN34,No,ENSG00000170892
CANT1,No,ENSG00000171302
ZNF57,No,ENSG00000171970
SHLD1,No,ENSG00000171984
TMCC1,No,ENSG00000172765
MRGPRF,Yes,ENSG00000172935
MARCHF3,No,ENSG00000173926
RAG2,No,ENSG00000175097
UBE2O,No,ENSG00000175931
SMIM19,No,ENSG00000176209
FAM210A,No,ENSG00000177150
GJD4,No,ENSG00000177291
AATK,Yes,ENSG00000181409
RELL1,No,ENSG00000181826
CREB3L2,No,ENSG00000182158
SLC25A21,No,ENSG00000183032
SHC4,No,ENSG00000185634
FAM120AOS,No,ENSG00000188938
SLC39A10,No,ENSG00000196950
C6orf141,No,ENSG00000197261
ZNF347,No,ENSG00000197937
MRPL42,No,ENSG00000198015
GJC2,No,ENSG00000198835
STKLD1,Yes,ENSG00000198870
SCAF8,No,ENSG00000213079
ZBTB9,No,ENSG00000213588
AP1G2,No,ENSG00000213983
SMIM30,No,ENSG00000214194
HNRNPA1L3,No,ENSG00000224578
GAGE12H,No,ENSG00000224902
PRAF2,No,ENSG00000243279
THEGL,No,ENSG00000249693
SPON1,No,ENSG00000262655
OPN1MW3,No,ENSG00000269433
LILRA3,No,ENSG00000273884
ZNF263,No,ENSG00000006194
TSR3,No,ENSG00000007520
MRE11,No,ENSG00000020922
ZZZ3,No,ENSG00000036549
MCF2L2,No,ENSG00000053524
ACAA1,No,ENSG00000060971
ADCK1,No,ENSG00000063761
RASGRP2,No,ENSG00000068831
PITX1,No,ENSG00000069011
ATP1B3,Yes,ENSG00000069849
RUNX1T1,No,ENSG00000079102
HSP90AA1,Yes,ENSG00000080824
C5orf22,No,ENSG00000082213
NDUFB2,No,ENSG00000090266
SNRPD3,No,ENSG00000100028
PPM1F,No,ENSG00000100034
SGSM3,No,ENSG00000100359
CDKN3,No,ENSG00000100526
TUBB1,Yes,ENSG00000101162
STMN2,No,ENSG00000104435
ARHGEF18,No,ENSG00000104880
C19orf53,No,ENSG00000104979
TFPI2,No,ENSG00000105825
DBX1,No,ENSG00000109851
HDDC2,No,ENSG00000111906
SEMA5A,No,ENSG00000112902
AMPD1,Yes,ENSG00000116748
FILIP1,No,ENSG00000118407
CCNI,No,ENSG00000118816
CNNM1,No,ENSG00000119946
GHSR,Yes,ENSG00000121853
NT5C3A,No,ENSG00000122643
NFE2,No,ENSG00000123405
CANX,No,ENSG00000127022
TAS2R5,No,ENSG00000127366
AKAP9,No,ENSG00000127914
FXR2,No,ENSG00000129245
MIS18BP1,No,ENSG00000129534
DMGDH,No,ENSG00000132837
GSTT2B,No,ENSG00000133433
EHF,No,ENSG00000135373
DNAJC14,No,ENSG00000135392
ARHGEF4,No,ENSG00000136002
ABI1,No,ENSG00000136754
TPMT,Yes,ENSG00000137364
AOX1,Yes,ENSG00000138356
NUP54,No,ENSG00000138750
CXCL9,No,ENSG00000138755
MARVELD3,No,ENSG00000140832
CCDC40,No,ENSG00000141519
ST18,No,ENSG00000147488
POLR2K,No,ENSG00000147669
CEP112,No,ENSG00000154240
KLF10,No,ENSG00000155090
C9orf43,No,ENSG00000157653
MITD1,No,ENSG00000158411
HTR6,Yes,ENSG00000158748
PGLYRP2,No,ENSG00000161031
ZNF474,No,ENSG00000164185
C9orf64,No,ENSG00000165118
ZMYND19,No,ENSG00000165724
API5,No,ENSG00000166181
DIS3L,No,ENSG00000166938
ISLR2,Yes,ENSG00000167178
DHRS13,No,ENSG00000167536
TM4SF4,No,ENSG00000169903
IFFO2,No,ENSG00000169991
TMEM154,No,ENSG00000170006
TMEM37,No,ENSG00000171227
PLAC8L1,No,ENSG00000173261
LINGO2,Yes,ENSG00000174482
CLEC14A,No,ENSG00000176435
TEX44,No,ENSG00000177673
PARP10,No,ENSG00000178685
CPN2,Yes,ENSG00000178772
KRTAP10-6,No,ENSG00000188155
OR2G6,No,ENSG00000188558
SAXO2,No,ENSG00000188659
OR6M1,No,ENSG00000196099
ZNF239,No,ENSG00000196793
NOL8,No,ENSG00000198000
SULT1C2,No,ENSG00000198203
CD3E,No,ENSG00000198851
TCEAL5,No,ENSG00000204065
PJVK,No,ENSG00000204311
ZFP57,No,ENSG00000204644
KRT25,No,ENSG00000204897
IGLV1-36,No,ENSG00000211655
TRGV9,No,ENSG00000211695
TRAV12-3,No,ENSG00000211794
SH3D21,No,ENSG00000214193
DCAF8L1,No,ENSG00000226372
SMIM26,No,ENSG00000232388
TARM1,No,ENSG00000248385
OR5M1,No,ENSG00000255012
CCDC179,No,ENSG00000255359
CTSO,No,ENSG00000256043
GTF2I,No,ENSG00000263001
PKD1L3,No,ENSG00000277481
TBC1D3E,No,ENSG00000278599
PRAMEF18,No,ENSG00000279804
FAM95C,No,ENSG00000283486
SMIM38,No,ENSG00000284713
HOXA11,No,ENSG00000005073
NADK,No,ENSG00000008130
LAMC2,No,ENSG00000058085
TNK2,Yes,ENSG00000061938
SIDT1,No,ENSG00000072858
CYP2W1,Yes,ENSG00000073067
CTTN,No,ENSG00000085733
RBM27,No,ENSG00000091009
SLCO4A1,No,ENSG00000101187
TM9SF4,No,ENSG00000101337
LPIN2,No,ENSG00000101577
TIMM44,No,ENSG00000104980
SLC1A1,Yes,ENSG00000106688
DRG2,No,ENSG00000108591
MVK,No,ENSG00000110921
GMDS,No,ENSG00000112699
TXNDC15,No,ENSG00000113621
CRBN,No,ENSG00000113851
IFT57,No,ENSG00000114446
SLAMF1,No,ENSG00000117090
LYZL1,No,ENSG00000120563
RAB9A,Yes,ENSG00000123595
GDAP1L1,No,ENSG00000124194
PLGLB2,No,ENSG00000125551
PAX8,No,ENSG00000125618
TAS2R3,No,ENSG00000127362
RIDA,No,ENSG00000132541
TM6SF1,No,ENSG00000136404
HCRTR2,Yes,ENSG00000137252
FAM13A,No,ENSG00000138640
ACVRL1,Yes,ENSG00000139567
ZCCHC2,No,ENSG00000141664
IFNA16,No,ENSG00000147885
LRRC27,No,ENSG00000148814
SSRP1,No,ENSG00000149136
QDPR,Yes,ENSG00000151552
CCNB2,Yes,ENSG00000157456
RNF166,No,ENSG00000158717
KCNT2,Yes,ENSG00000162687
PDCL2,No,ENSG00000163440
ARPC2,No,ENSG00000163466
CAMK2N2,No,ENSG00000163888
PRSS37,No,ENSG00000165076
PRDX3,No,ENSG00000165672
STOX1,No,ENSG00000165730
MLST8,No,ENSG00000167965
LRP1B,No,ENSG00000168702
NSG2,No,ENSG00000170091
EMX2,No,ENSG00000170370
TRMT61B,No,ENSG00000171103
ZDHHC16,No,ENSG00000171307
RAB33B,No,ENSG00000172007
HOXB2,No,ENSG00000173917
PIFO,No,ENSG00000173947
CBY2,No,ENSG00000174015
CETN1,No,ENSG00000177143
RABEP2,No,ENSG00000177548
CEP295NL,No,ENSG00000178404
APOLD1,No,ENSG00000178878
FKRP,No,ENSG00000181027
SYNE4,No,ENSG00000181392
IST1,No,ENSG00000182149
KPNA2,No,ENSG00000182481
ADI1,No,ENSG00000182551
ZNF721,No,ENSG00000182903
UPP1,Yes,ENSG00000183696
ACOT1,No,ENSG00000184227
H2BC21,No,ENSG00000184678
SLITRK2,No,ENSG00000185985
UBL4B,No,ENSG00000186150
TMPRSS12,No,ENSG00000186452
LILRA5,No,ENSG00000187116
C17orf97,No,ENSG00000187624
PERM1,No,ENSG00000187642
FAM166A,No,ENSG00000188163
RALGAPA2,No,ENSG00000188559
RPL23A,No,ENSG00000198242
LIME1,No,ENSG00000203896
OR10C1,No,ENSG00000206474
PTPRCAP,No,ENSG00000213402
UMAD1,No,ENSG00000219545
NPIPA3,No,ENSG00000224712
MBD3L5,No,ENSG00000237247
GTF2A1L,No,ENSG00000242441
PTTG2,No,ENSG00000250254
CHMP1B,No,ENSG00000255112
C20orf141,No,ENSG00000258713
CISD3,No,ENSG00000277972
IGHV3-64D,No,ENSG00000282639
CIROP,No,ENSG00000283654
REX1BD,No,ENSG00000006015
ROGDI,No,ENSG00000067836
KLHL20,Yes,ENSG00000076321
SSH1,No,ENSG00000084112
DNAJA1,Yes,ENSG00000086061
CHRD,No,ENSG00000090539
TIMM50,No,ENSG00000105197
SH3GL2,No,ENSG00000107295
PDLIM1,No,ENSG00000107438
CHIC2,No,ENSG00000109220
UPK2,No,ENSG00000110375
KLRB1,No,ENSG00000111796
PRPF4B,Yes,ENSG00000112739
NPRL2,No,ENSG00000114388
GORAB,No,ENSG00000120370
ZNF549,No,ENSG00000121406
SRGN,No,ENSG00000122862
NCOA3,Yes,ENSG00000124151
PLCG1,No,ENSG00000124181
SPDEF,No,ENSG00000124664
ITPA,No,ENSG00000125877
TMEM74B,No,ENSG00000125895
EIF2S2,No,ENSG00000125977
ASL,No,ENSG00000126522
LRRC17,Yes,ENSG00000128606
SAMD10,No,ENSG00000130590
TEX101,No,ENSG00000131126
EXOC4,No,ENSG00000131558
CC2D1A,No,ENSG00000132024
TERF2,No,ENSG00000132604
CRP,No,ENSG00000132693
MRPL50,No,ENSG00000136897
TGS1,No,ENSG00000137574
GPR87,Yes,ENSG00000138271
VPS53,No,ENSG00000141252
IL19,No,ENSG00000142224
CHAC2,No,ENSG00000143942
ECE2,No,ENSG00000145194
TNFRSF21,No,ENSG00000146072
UHRF2,No,ENSG00000147854
DLAT,No,ENSG00000150768
ANAPC1,No,ENSG00000153107
ROBO4,No,ENSG00000154133
GTF3C6,No,ENSG00000155115
PDE6D,Yes,ENSG00000156973
SLC6A1,Yes,ENSG00000157103
ARSL,No,ENSG00000157399
SLC45A3,No,ENSG00000158715
ENTREP3,No,ENSG00000160767
KLHL10,Yes,ENSG00000161594
GMEB1,No,ENSG00000162419
DCST1,No,ENSG00000163357
FBXO40,No,ENSG00000163833
BDH2,No,ENSG00000164039
IL22RA2,No,ENSG00000164485
CARD19,No,ENSG00000165233
CLDN2,No,ENSG00000165376
FAM204A,No,ENSG00000165669
ACER1,No,ENSG00000167769
ATG16L2,No,ENSG00000168010
PGM2,No,ENSG00000169299
ADORA2B,Yes,ENSG00000170425
PARL,No,ENSG00000175193
MIEF2,No,ENSG00000177427
UCN3,No,ENSG00000178473
PRKRA,No,ENSG00000180228
OAZ2,No,ENSG00000180304
MEIOC,No,ENSG00000180336
OR5AK2,No,ENSG00000181273
VMO1,No,ENSG00000182853
CMKLR2,Yes,ENSG00000183671
EMID1,No,ENSG00000186998
CDHR4,No,ENSG00000187492
PRSS45P,No,ENSG00000188086
ZNF669,No,ENSG00000188295
UROS,No,ENSG00000188690
CPLANE1,No,ENSG00000197603
NPY4R,Yes,ENSG00000204174
C9orf57,No,ENSG00000204669
KRTAP1-4,No,ENSG00000204887
CFAP99,No,ENSG00000206113
IGKJ1,No,ENSG00000211597
TRGV4,No,ENSG00000211698
TRAJ38,No,ENSG00000211851
TAS2R13,No,ENSG00000212128
CRPPA,No,ENSG00000214960
OR1J4,No,ENSG00000239590
PLCXD2,No,ENSG00000240891
ARPC1A,No,ENSG00000241685
SCARF2,No,ENSG00000244486
P3R3URF,No,ENSG00000250719
TSPY1,No,ENSG00000258992
ZNF488,No,ENSG00000265763
H2AB1,No,ENSG00000274183
FAM236C,No,ENSG00000283594
OOSP3,No,ENSG00000285231
CCDC85A,No,ENSG00000055813
ISOC1,No,ENSG00000066583
DDX3Y,No,ENSG00000067048
RNF126,No,ENSG00000070423
RAD18,No,ENSG00000070950
RAPGEF3,No,ENSG00000079337
RBL1,No,ENSG00000080839
GRHL2,No,ENSG00000083307
LAT2,No,ENSG00000086730
ZW10,No,ENSG00000086827
SLC15A1,Yes,ENSG00000088386
SMPX,No,ENSG00000091482
ESR1,Yes,ENSG00000091831
HNRNPC,No,ENSG00000092199
PDE6C,Yes,ENSG00000095464
NCR2,No,ENSG00000096264
MTAP,Yes,ENSG00000099810
MCAT,No,ENSG00000100294
REC8,No,ENSG00000100918
DNTTIP1,No,ENSG00000101457
USP31,No,ENSG00000103404
AAGAB,No,ENSG00000103591
IL4I1,Yes,ENSG00000104951
UPK1A,No,ENSG00000105668
POLD2,No,ENSG00000106628
GALNTL5,No,ENSG00000106648
EIF4H,Yes,ENSG00000106682
DNM1,No,ENSG00000106976
NDUFC1,No,ENSG00000109390
SH3D19,No,ENSG00000109686
SLCO1B3,No,ENSG00000111700
TRAPPC13,No,ENSG00000113597
CHRNB4,Yes,ENSG00000117971
ACAT2,No,ENSG00000120437
SLC25A35,No,ENSG00000125434
STK35,Yes,ENSG00000125834
CSN1S1,No,ENSG00000126545
KDM4B,No,ENSG00000127663
RFPL1,No,ENSG00000128250
DUT,Yes,ENSG00000128951
DSC2,No,ENSG00000134755
STT3A,No,ENSG00000134910
USP44,No,ENSG00000136014
TLN1,No,ENSG00000137076
MAP2K5,Yes,ENSG00000137764
PAQR5,No,ENSG00000137819
SULT6B1,No,ENSG00000138068
PRICKLE1,No,ENSG00000139174
SLC27A2,No,ENSG00000140284
PARN,No,ENSG00000140694
ZNF660,No,ENSG00000144792
SPATA16,No,ENSG00000144962
COMMD10,No,ENSG00000145781
FERD3L,No,ENSG00000146618
DOK2,No,ENSG00000147443
PRSS23,No,ENSG00000150687
LYZL2,No,ENSG00000151033
PANK1,No,ENSG00000152782
TRIM74,No,ENSG00000155428
DRAM2,No,ENSG00000156171
ZIC3,No,ENSG00000156925
RSPRY1,No,ENSG00000159579
SHANK2,No,ENSG00000162105
MAGOH,No,ENSG00000162385
SLC2A2,No,ENSG00000163581
CCDC158,No,ENSG00000163749
VIRMA,No,ENSG00000164944
ENDOG,No,ENSG00000167136
PLIN4,No,ENSG00000167676
LRATD2,No,ENSG00000168672
KCNAB1,No,ENSG00000169282
KLF13,No,ENSG00000169926
SRGAP2C,No,ENSG00000171943
ZNF621,No,ENSG00000172888
FOXR1,No,ENSG00000176302
DPY19L3,No,ENSG00000178904
FARSA,No,ENSG00000179115
RPRML,No,ENSG00000179673
FES,Yes,ENSG00000182511
HMCES,No,ENSG00000183624
CCDC190,No,ENSG00000185860
FAM228A,No,ENSG00000186453
C11orf96,No,ENSG00000187479
OR7A5,No,ENSG00000188269
GDAP2,No,ENSG00000196505
H2BC12,No,ENSG00000197903
MPZL1,No,ENSG00000197965
ZNF649,No,ENSG00000198093
MT1M,No,ENSG00000205364
TRAV2,No,ENSG00000211776
HAUS3,No,ENSG00000214367
PLXNA4,No,ENSG00000221866
OR4F3,No,ENSG00000230178
ANKRD63,No,ENSG00000230778
IGKV1OR2-108,No,ENSG00000231292
RPS28,No,ENSG00000233927
RPEL1,No,ENSG00000235376
PTTG1IP2,No,ENSG00000251154
CHMP4A,No,ENSG00000254505
ZNF432,No,ENSG00000256087
CT45A2,No,ENSG00000271449
IGHV4-4,No,ENSG00000276775
PWWP4,No,ENSG00000278803
CALCR,Yes,ENSG00000004948
SYPL1,No,ENSG00000008282
GABRA1,Yes,ENSG00000022355
DERA,No,ENSG00000023697
PIAS1,No,ENSG00000033800
TNPO3,No,ENSG00000064419
GLP2R,No,ENSG00000065325
LMCD1,No,ENSG00000071282
KIF3C,No,ENSG00000084731
CDIP1,No,ENSG00000089486
RNF31,No,ENSG00000092098
CACNA1I,Yes,ENSG00000100346
UQCC1,No,ENSG00000101019
LACTB,Yes,ENSG00000103642
WDR91,No,ENSG00000105875
WASL,No,ENSG00000106299
CRYBA1,No,ENSG00000108255
COL12A1,No,ENSG00000111799
RIPOR2,No,ENSG00000111913
IL17A,No,ENSG00000112115
SOBP,No,ENSG00000112320
HMGCR,Yes,ENSG00000113161
ARMC8,No,ENSG00000114098
STK16,Yes,ENSG00000115661
GBP1,No,ENSG00000117228
ADGRE5,No,ENSG00000123146
IL13RA2,No,ENSG00000123496
SLPI,No,ENSG00000124107
TRERF1,No,ENSG00000124496
TNFSF9,No,ENSG00000125657
MORC4,No,ENSG00000133131
ETS1,No,ENSG00000134954
ACVR1B,Yes,ENSG00000135503
MAP7,No,ENSG00000135525
UNC13C,No,ENSG00000137766
FNDC7,No,ENSG00000143107
TAMM41,No,ENSG00000144559
UBA3,No,ENSG00000144744
LIX1,No,ENSG00000145721
TNFAIP8,No,ENSG00000145779
PTGES2,No,ENSG00000148334
LCN9,No,ENSG00000148386
ANKRD1,No,ENSG00000148677
OR8K1,No,ENSG00000150261
FCGR1A,No,ENSG00000150337
TMEM267,No,ENSG00000151881
ZNF117,No,ENSG00000152926
GBP5,No,ENSG00000154451
ADAMTS1,Yes,ENSG00000154734
SKA1,No,ENSG00000154839
AIFM1,No,ENSG00000156709
COX6B2,No,ENSG00000160471
TAOK1,Yes,ENSG00000160551
SMIM14,No,ENSG00000163683
CRELD1,No,ENSG00000163703
ETNPPL,Yes,ENSG00000164089
ZNF503,No,ENSG00000165655
USP54,No,ENSG00000166348
TMEM150A,No,ENSG00000168890
SLFNL1,No,ENSG00000171790
SLC16A11,No,ENSG00000174326
STARD6,No,ENSG00000174448
CADM2,No,ENSG00000175161
IFNW1,No,ENSG00000177047
CHD9,No,ENSG00000177200
RPRM,No,ENSG00000177519
ZNF543,No,ENSG00000178229
OR56B4,No,ENSG00000180919
C4orf50,No,ENSG00000181215
HMGN4,No,ENSG00000182952
PYCR1,No,ENSG00000183010
SPNS2,No,ENSG00000183018
SYNDIG1L,No,ENSG00000183379
AP3M1,No,ENSG00000185009
KLHL34,No,ENSG00000185915
CLCN1,Yes,ENSG00000188037
SP6,No,ENSG00000189120
FAM53B,No,ENSG00000189319
NOP9,No,ENSG00000196943
WDR5B,No,ENSG00000196981
ZNF273,No,ENSG00000198039
ZNF607,No,ENSG00000198182
TAT,No,ENSG00000198650
FAM169A,No,ENSG00000198780
HLA-F,No,ENSG00000204642
TRAV26-2,No,ENSG00000211812
CSNK1E,Yes,ENSG00000213923
IGKV1D-33,No,ENSG00000239975
KIR2DL3,No,ENSG00000243772
APOBEC3D,No,ENSG00000243811
ZCCHC3,No,ENSG00000247315
IGKV2D-40,No,ENSG00000251039
HOXB7,No,ENSG00000260027
NOL12,No,ENSG00000273899
SCO2,No,ENSG00000284194
ENPP4,No,ENSG00000001561
TBXA2R,Yes,ENSG00000006638
PROM1,No,ENSG00000007062
IDS,No,ENSG00000010404
PTBP1,Yes,ENSG00000011304
PHF23,No,ENSG00000040633
SLCO1A2,No,ENSG00000084453
B4GALT1,No,ENSG00000086062
FXYD5,No,ENSG00000089327
SH2D3C,No,ENSG00000095370
CENPM,No,ENSG00000100162
GRAP2,No,ENSG00000100351
AIMP2,No,ENSG00000106305
CRTAM,No,ENSG00000109943
HSPA8,No,ENSG00000109971
MS4A4A,No,ENSG00000110079
PRMT8,No,ENSG00000111218
PRSS16,No,ENSG00000112812
RTKN,No,ENSG00000114993
TPSG1,No,ENSG00000116176
FLT3,Yes,ENSG00000122025
NQO2,Yes,ENSG00000124588
UNC5CL,No,ENSG00000124602
PSMB2,Yes,ENSG00000126067
GNGT1,No,ENSG00000127928
MYO1B,No,ENSG00000128641
CYP2E1,Yes,ENSG00000130649
PSME3,No,ENSG00000131467
PPFIA1,No,ENSG00000131626
TESMIN,No,ENSG00000132749
OSER1,No,ENSG00000132823
SLF1,No,ENSG00000133302
GYPC,No,ENSG00000136732
PGBD1,No,ENSG00000137338
EGF,No,ENSG00000138798
KIF21A,No,ENSG00000139116
ARMC5,No,ENSG00000140691
GALNT2,No,ENSG00000143641
NAF1,No,ENSG00000145414
ADAMTS16,No,ENSG00000145536
RGS18,No,ENSG00000150681
CACUL1,No,ENSG00000151893
BMP6,No,ENSG00000153162
WNT3A,No,ENSG00000154342
RADIL,No,ENSG00000157927
SV2A,Yes,ENSG00000159164
LSS,Yes,ENSG00000160285
VANGL2,No,ENSG00000162738
GARIN4,No,ENSG00000162771
ATF3,No,ENSG00000162772
SCNM1,No,ENSG00000163156
ZMYM6,No,ENSG00000163867
SGMS2,No,ENSG00000164023
ARSK,No,ENSG00000164291
RAET1E,No,ENSG00000164520
COMTD1,No,ENSG00000165644
TBC1D2B,No,ENSG00000167202
OR51B5,No,ENSG00000167355
TRAPPC2L,No,ENSG00000167515
TMEM223,No,ENSG00000168569
CRCT1,No,ENSG00000169509
RNF150,No,ENSG00000170153
NRROS,No,ENSG00000174004
ZWILCH,No,ENSG00000174442
PDE12,No,ENSG00000174840
RFESD,No,ENSG00000175449
NECTIN3,No,ENSG00000177707
SAMD4B,No,ENSG00000179134
ZBTB18,No,ENSG00000179456
PLD5,No,ENSG00000180287
SLC47A2,Yes,ENSG00000180638
ZNF443,No,ENSG00000180855
GTF2H2C,No,ENSG00000183474
DGCR6,No,ENSG00000183628
TPCN1,Yes,ENSG00000186815
OR5D3P,No,ENSG00000186886
ZAR1L,No,ENSG00000189167
OR8A1,No,ENSG00000196119
ZNF470,No,ENSG00000197016
AADACL4,No,ENSG00000204518
IGHE,No,ENSG00000211891
IGHV3-73,No,ENSG00000211976
FANCG,No,ENSG00000221829
WDR46,No,ENSG00000227057
IGKV1D-43,No,ENSG00000242580
CCDC169,No,ENSG00000242715
ERVFRD-1,No,ENSG00000244476
IGKV1D-37,No,ENSG00000250036
MRPL12,No,ENSG00000262814
BIVM-ERCC5,No,ENSG00000270181
GRIN2B,Yes,ENSG00000273079
CCL3L3,No,ENSG00000276085
OR12D2,No,ENSG00000280236
TMEM272,No,ENSG00000281106
LYNX1-SLURP2,No,ENSG00000284505
ITGA3,No,ENSG00000005884
RHOBTB2,No,ENSG00000008853
SNAI2,No,ENSG00000019549
GRAMD1B,No,ENSG00000023171
OTC,Yes,ENSG00000036473
RIPOR1,No,ENSG00000039523
PSMA4,Yes,ENSG00000041357
JADE2,No,ENSG00000043143
TNFRSF17,No,ENSG00000048462
CUL1,No,ENSG00000055130
CRMP1,No,ENSG00000072832
ARHGAP15,No,ENSG00000075884
CEACAM6,No,ENSG00000086548
RTRAF,No,ENSG00000087302
P2RX7,Yes,ENSG00000089041
RGS17,No,ENSG00000091844
CLSPN,No,ENSG00000092853
TRIP11,No,ENSG00000100815
NFATC4,No,ENSG00000100968
ARFGAP1,No,ENSG00000101199
TRIB3,Yes,ENSG00000101255
CWH43,No,ENSG00000109182
SLC1A2,Yes,ENSG00000110436
TMEM14C,No,ENSG00000111843
PCDHB7,No,ENSG00000113212
KYNU,Yes,ENSG00000115919
CHD5,No,ENSG00000116254
GON4L,No,ENSG00000116580
ST6GALNAC5,No,ENSG00000117069
PPP1R8,No,ENSG00000117751
PAIP2,No,ENSG00000120727
MYOT,No,ENSG00000120729
AHNAK,No,ENSG00000124942
TEKT3,No,ENSG00000125409
MYOD1,No,ENSG00000129152
USP6,No,ENSG00000129204
GATA5,No,ENSG00000130700
TMEM204,No,ENSG00000131634
MBD2,No,ENSG00000134046
RPS15A,No,ENSG00000134419
PELI2,No,ENSG00000139946
G6PC3,No,ENSG00000141349
TRIM65,No,ENSG00000141569
UBXN4,No,ENSG00000144224
NXPE3,No,ENSG00000144815
TMEM108,No,ENSG00000144868
OCIAD2,No,ENSG00000145247
SRFBP1,No,ENSG00000151304
PABIR3,No,ENSG00000156500
KCNJ15,Yes,ENSG00000157551
XDH,Yes,ENSG00000158125
ZSCAN12,No,ENSG00000158691
ATP13A2,No,ENSG00000159363
PIP,No,ENSG00000159763
TRIM46,No,ENSG00000163462
RYK,Yes,ENSG00000163785
INPPL1,No,ENSG00000165458
LDHC,No,ENSG00000166796
EEF2,No,ENSG00000167658
SLC35G2,No,ENSG00000168917
FEM1B,No,ENSG00000169018
SPNS1,No,ENSG00000169682
ZNF35,No,ENSG00000169981
KIF5B,No,ENSG00000170759
P2RY6,Yes,ENSG00000171631
QARS1,No,ENSG00000172053
TMEM217,No,ENSG00000172738
KLHL38,Yes,ENSG00000175946
DEFB103A,No,ENSG00000176797
FZD8,No,ENSG00000177283
DPY19L2,No,ENSG00000177990
GPR35,Yes,ENSG00000178623
TDRP,No,ENSG00000180190
ARHGEF37,No,ENSG00000183111
MAGEA2B,No,ENSG00000183305
RIPK4,Yes,ENSG00000183421
TBL3,No,ENSG00000183751
FOXD4L1,No,ENSG00000184492
SYN3,No,ENSG00000185666
BCL9L,No,ENSG00000186174
MYT1,Yes,ENSG00000196132
SAMD9,No,ENSG00000205413
SELENOH,No,ENSG00000211450
TRAV17,No,ENSG00000211797
TRAJ2,No,ENSG00000211887
ZNF888,No,ENSG00000213793
GSG1L2,No,ENSG00000214978
SRRM5,No,ENSG00000226763
HLA-DRB4,No,ENSG00000231021
NME2,No,ENSG00000243678
NFS1,No,ENSG00000244005
FPGT,No,ENSG00000254685
HP,No,ENSG00000257017
HPR,No,ENSG00000261701
MAGIX,No,ENSG00000269313
IGHD5OR15-5B,No,ENSG00000270824
PPIAL4E,No,ENSG00000271567
KRTAP10-7,No,ENSG00000272804
TRBV12-5,No,ENSG00000275158
ENSG00000286264,No,ENSG00000286264
VPS50,No,ENSG00000004766
ABCC8,Yes,ENSG00000006071
ST7L,No,ENSG00000007341
SEMA3G,No,ENSG00000010319
DNASE1L1,No,ENSG00000013563
NRXN3,No,ENSG00000021645
AGPAT4,No,ENSG00000026652
SLC18A1,Yes,ENSG00000036565
CDON,No,ENSG00000064309
CDK13,Yes,ENSG00000065883
LXN,No,ENSG00000079257
NLK,Yes,ENSG00000087095
PGS1,No,ENSG00000087157
PDRG1,No,ENSG00000088356
PUS7,No,ENSG00000091127
CBX5,No,ENSG00000094916
TMED8,No,ENSG00000100580
ALKBH1,No,ENSG00000100601
ARFRP1,No,ENSG00000101246
ST8SIA5,No,ENSG00000101638
ETV2,No,ENSG00000105672
TMEM176B,No,ENSG00000106565
BLVRA,No,ENSG00000106605
PPIF,No,ENSG00000108179
VAT1,No,ENSG00000108828
LUC7L3,No,ENSG00000108848
DTX4,No,ENSG00000110042
GALNT18,No,ENSG00000110328
CD81,No,ENSG00000110651
SPCS1,No,ENSG00000114902
MPV17,No,ENSG00000115204
CCDC88A,No,ENSG00000115355
IFNA8,No,ENSG00000120242
