,Protein,ENSG,UniProt,Source,Score,disease_id
64,MAP1LC3B,ENSG00000140941,Q9GZQ8,uniprot_swissprot,0.5144371920337244,MONDO_0100096
65,TBK1,ENSG00000183735,Q9UHD2,uniprot_swissprot,0.5095363625483261,MONDO_0100096
66,NR3C2,ENSG00000151623,P08235,uniprot_swissprot,0.49960922347328046,MONDO_0100096
67,DPP4,ENSG00000197635,P27487,uniprot_swissprot,0.4906619074319451,MONDO_0100096
68,PDE5A,ENSG00000138735,O76074,uniprot_swissprot,0.49020654040618067,MONDO_0100096
69,HLA-G,ENSG00000204632,P17693,uniprot_swissprot,0.4889585670064674,MONDO_0100096
70,HLA-C,ENSG00000204525,P10321,uniprot_swissprot,0.4881948889100227,MONDO_0100096
71,KCNK10,ENSG00000100433,P57789,uniprot_swissprot,0.48234104710972914,MONDO_0100096
72,HLA-E,ENSG00000204592,P13747,uniprot_swissprot,0.48221360948522907,MONDO_0100096
73,HAVCR1,ENSG00000113249,Q96D42,uniprot_swissprot,0.48147898510459775,MONDO_0100096
74,IKBKB,ENSG00000104365,O14920,uniprot_swissprot,0.4814746043368943,MONDO_0100096
75,BECN1,ENSG00000126581,Q14457,uniprot_swissprot,0.4803583258768972,MONDO_0100096
76,KCNK3,ENSG00000171303,O14649,uniprot_swissprot,0.4800944973425022,MONDO_0100096
77,HLA-B,ENSG00000234745,P01889,uniprot_swissprot,0.4799787562656613,MONDO_0100096
78,KCNK9,ENSG00000169427,Q9NPC2,uniprot_swissprot,0.47917054770579043,MONDO_0100096
79,KCNK18,ENSG00000186795,Q7Z418,uniprot_swissprot,0.47917054770579043,MONDO_0100096
80,KCNK2,ENSG00000082482,O95069,uniprot_swissprot,0.47917054770579043,MONDO_0100096
81,GLRA1,ENSG00000145888,P23415,uniprot_swissprot,0.47917054770579043,MONDO_0100096
82,NRP1,ENSG00000099250,O14786,uniprot_swissprot,0.47887499750978796,MONDO_0100096
83,RARG,ENSG00000172819,P13631,uniprot_swissprot,0.4778059739868739,MONDO_0100096
84,RARA,ENSG00000131759,P10276,uniprot_swissprot,0.4778059739868739,MONDO_0100096
85,RARB,ENSG00000077092,P10826,uniprot_swissprot,0.47688202435016214,MONDO_0100096
86,STING1,ENSG00000184584,Q86WV6,uniprot_swissprot,0.47639684811591987,MONDO_0100096
87,HLA-A,ENSG00000206503,P04439,uniprot_swissprot,0.4752035956836906,MONDO_0100096
88,HRH1,ENSG00000196639,P35367,uniprot_swissprot,0.4725181103214658,MONDO_0100096
89,IRF3,ENSG00000126456,Q14653,uniprot_swissprot,0.46961358008345305,MONDO_0100096
90,PIK3C3,ENSG00000078142,Q8NEB9,uniprot_swissprot,0.4686939854361866,MONDO_0100096
91,ISG15,ENSG00000187608,P05161,uniprot_swissprot,0.46677395554109125,MONDO_0100096
92,ST6GAL1,ENSG00000073849,P15907,uniprot_swissprot,0.46615348324897693,MONDO_0100096
93,MAVS,ENSG00000088888,Q7Z434,uniprot_swissprot,0.46585814490825606,MONDO_0100096
94,IKBKG,ENSG00000269335,Q9Y6K9,uniprot_swissprot,0.46505470532835985,MONDO_0100096
95,PIK3R4,ENSG00000196455,Q99570,uniprot_swissprot,0.4647466672660125,MONDO_0100096
96,ST3GAL4,ENSG00000110080,Q11206,uniprot_swissprot,0.46460807482050576,MONDO_0100096
97,B2M,ENSG00000166710,P61769,uniprot_swissprot,0.46449123485192356,MONDO_0100096
98,UVRAG,ENSG00000198382,Q9P2Y5,uniprot_swissprot,0.4638227176293007,MONDO_0100096
99,CHUK,ENSG00000213341,O15111,uniprot_swissprot,0.46368479248075384,MONDO_0100096
100,ST6GALNAC4,ENSG00000136840,Q9H4F1,uniprot_swissprot,0.4634634038816906,MONDO_0100096
101,RPS27A,ENSG00000143947,P62979,uniprot_swissprot,0.46340694029278046,MONDO_0100096
102,TAB1,ENSG00000100324,Q15750,uniprot_swissprot,0.463147105122723,MONDO_0100096
103,ST3GAL1,ENSG00000008513,Q11201,uniprot_swissprot,0.46308355791993133,MONDO_0100096
104,ST6GALNAC3,ENSG00000184005,Q8NDV1,uniprot_swissprot,0.4629911629562602,MONDO_0100096
105,ST6GALNAC2,ENSG00000070731,Q9UJ37,uniprot_swissprot,0.462898767992589,MONDO_0100096
106,TUFM,ENSG00000178952,P49411,uniprot_swissprot,0.46271397806524667,MONDO_0100096
107,HLA-F,ENSG00000204642,P30511,uniprot_swissprot,0.4619748183558772,MONDO_0100096
108,ST3GAL3,ENSG00000126091,Q11203,uniprot_swissprot,0.4619748183558772,MONDO_0100096
109,ST3GAL2,ENSG00000157350,Q16842,uniprot_swissprot,0.4619748183558772,MONDO_0100096
110,CD80,ENSG00000121594,P33681,uniprot_swissprot,0.4523118969487409,MONDO_0100096
111,CD86,ENSG00000114013,P42081,uniprot_swissprot,0.44999635327857834,MONDO_0100096
112,SLC6A20,ENSG00000163817,Q9NP91,uniprot_swissprot,0.4494602401471042,MONDO_0100096
113,INSR,ENSG00000171105,P06213,uniprot_swissprot,0.442907515938312,MONDO_0100096
114,HMGCR,ENSG00000113161,P04035,uniprot_swissprot,0.42418373071261223,MONDO_0100096
115,JAK2,ENSG00000096968,O60674,uniprot_swissprot,0.41512873925296706,MONDO_0100096
116,IL10RB,ENSG00000243646,Q08334,uniprot_swissprot,0.4146983263614932,MONDO_0100096
117,SELP,ENSG00000174175,P16109,uniprot_swissprot,0.4136095973323163,MONDO_0100096
118,JAK1,ENSG00000162434,P23458,uniprot_swissprot,0.4130319022568322,MONDO_0100096
119,CSF2RA,ENSG00000198223,P15509,uniprot_swissprot,0.4083835259282027,MONDO_0100096
120,PPIA,ENSG00000196262,P62937,uniprot_swissprot,0.40720620702598836,MONDO_0100096
121,ACHE,ENSG00000087085,P22303,uniprot_swissprot,0.401431346849263,MONDO_0100096
122,RBX1,ENSG00000100387,P62877,uniprot_swissprot,0.39825822479752715,MONDO_0100096
123,CRBN,ENSG00000113851,Q96SW2,uniprot_swissprot,0.39664131293328153,MONDO_0100096
124,CUL4A,ENSG00000139842,Q13619,uniprot_swissprot,0.39627173307859687,MONDO_0100096
125,DDB1,ENSG00000167986,Q16531,uniprot_swissprot,0.39627173307859687,MONDO_0100096
126,MBL2,ENSG00000165471,P11226,uniprot_swissprot,0.39575504771392694,MONDO_0100096
127,DPP9,ENSG00000142002,Q86TI2,uniprot_swissprot,0.39557503685309453,MONDO_0100096
128,IFIH1,ENSG00000115267,Q9BYX4,uniprot_swissprot,0.39500652583783236,MONDO_0100096
129,MASP2,ENSG00000009724,O00187,uniprot_swissprot,0.3935347271244301,MONDO_0100096
130,CTSL,ENSG00000135047,P07711,uniprot_swissprot,0.39145624171460025,MONDO_0100096
131,ACE,ENSG00000159640,P12821,uniprot_swissprot,0.39013506668848236,MONDO_0100096
132,TNF,ENSG00000232810,P01375,uniprot_swissprot,0.38947065267425857,MONDO_0100096
133,SFTPD,ENSG00000133661,P35247,uniprot_swissprot,0.38802035433501636,MONDO_0100096
134,IL1R1,ENSG00000115594,P14778,uniprot_swissprot,0.38647726408482075,MONDO_0100096
135,IL17RA,ENSG00000177663,Q96F46,uniprot_swissprot,0.38631217795148465,MONDO_0100096
136,PDGFRB,ENSG00000113721,P09619,uniprot_swissprot,0.38158088185074013,MONDO_0100096
137,RIGI,ENSG00000107201,O95786,uniprot_swissprot,0.38038620528098244,MONDO_0100096
138,MASP1,ENSG00000127241,P48740,uniprot_swissprot,0.3788511209708014,MONDO_0100096
139,GSK3B,ENSG00000082701,P49841,uniprot_swissprot,0.37789819313527445,MONDO_0100096
140,STAT1,ENSG00000115415,P42224,uniprot_swissprot,0.377705753218239,MONDO_0100096
141,STAT2,ENSG00000170581,P52630,uniprot_swissprot,0.3764996279412508,MONDO_0100096
142,IL6,ENSG00000136244,P05231,uniprot_swissprot,0.3761510225483278,MONDO_0100096
143,F2,ENSG00000180210,P00734,uniprot_swissprot,0.3761243011519412,MONDO_0100096
144,CANX,ENSG00000127022,P27824,uniprot_swissprot,0.37558552732332817,MONDO_0100096
