drugId,smiles,MW,HBA,HBD,LogP,AtomNum,MolRefractivity,RotBond,TPSA,Charge,HeavyAtom,RingNum,Violation(s)_ro5,Lipinski_ro5,Ghose,Veber,REOS,QED,phase,Flag
CHEMBL1200748,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O.O,244.247,7,8,-0.8778,17,60.4533,4,147.31,0,17,1,1,0,1,1,1,0,4,3
CHEMBL1200826,O=C([O-])[O-].[Li+].[Li+],73.89,3,0,-8.439,6,5.396,0,63.19,0,6,0,0,0,1,0,1,1,1,3
CHEMBL493,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,654.606,10,3,3.1928,43,164.1582,5,118.21,0,43,7,1,0,1,0,1,1,4,3
CHEMBL5315052,C#CCN[C@@H]1CCc2ccccc21.C#CCN[C@@H]1CCc2ccccc21.O=C(O)C(O)C(O)C(=O)O,492.572,8,6,1.6708,36,135.9646,7,139.12,0,36,4,1,0,1,0,1,1,4,3
CHEMBL1342,O=C(O)CCCO,104.105,3,2,-0.1565,7,23.9556,3,57.53,0,7,0,0,0,1,0,1,1,2,3
CHEMBL1042,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,384.648,1,1,7.619,28,121.1888,6,20.23,0,28,3,1,0,1,0,1,1,4,3
CHEMBL1201134,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,390.467,5,2,4.3099,27,95.4706,11,83.83,0,27,2,0,0,0,1,1,1,4,3
CHEMBL1200682,O=C([O-])CCCO.[Na+],126.087,3,1,-4.4872,8,21.3268,3,60.36,0,8,0,0,0,1,0,1,1,2,3
CHEMBL1096979,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,257.246,8,8,-1.7562,18,61.48,5,148.07,0,18,1,1,0,1,1,1,1,4,4
CHEMBL4297524,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)cn1,530.514,9,2,5.75084,39,138.7759,6,110.51,0,39,5,2,1,1,0,1,1,2,4
CHEMBL240624,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,503.567,12,2,2.1636,37,138.6534,9,125,0,37,6,2,1,1,0,1,1,3,4
CHEMBL290352,CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O,615.777,8,2,6.1613,43,172.641,7,94.72,0,43,8,2,1,1,0,1,1,2,4
CHEMBL1812161,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O,440.668,3,1,7.5217,32,135.5928,12,54.37,0,32,1,1,0,1,1,1,1,2,4
CHEMBL1496,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,481.546,9,3,2.4017,33,122.6792,10,140.92,0,33,2,0,0,1,1,1,1,1,4
CHEMBL1201740,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1.Cl.O,584.002,9,4,5.95294,41,151.8427,6,129.12,0,41,5,2,1,1,0,1,1,2,4
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,529.526,8,2,6.35584,39,140.9809,6,97.62,0,39,5,2,1,1,0,1,1,2,4
CHEMBL1200503,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,750.713,13,4,2.6968,48,181.6308,5,172.58,0,48,7,2,1,1,1,1,1,4,5
CHEMBL4084119,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)C(C)C)[C@@H](C)CC)C(=O)O,3751.262,94,58,-10.16166,266,955.1668,130,1513.76,0,266,6,3,1,1,1,1,1,2,5
CHEMBL1429,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,1069.238,26,18,-4.13203,74,271.4037,19,435.41,0,74,4,3,1,1,1,1,1,4,5
CHEMBL1200556,CC(=O)O.N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,1129.29,28,19,-4.04113,78,284.7135,19,472.71,0,78,4,3,1,1,1,1,1,4,5
CHEMBL787,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,586.197,4,2,8.948,41,171.2496,12,70.42,0,41,5,2,1,1,1,1,1,2,5
CHEMBL414357,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(N)=O,4186.637,110,65,-20.60433,295,1041.3338,134,1749.75,0,295,9,3,1,1,1,1,1,3,5
CHEMBL1200699,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,462.455,11,9,-1.1723,33,113.3887,2,213.12,0,33,4,2,1,1,1,1,1,2,5
CHEMBL413,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,914.187,14,3,6.1806,65,245.1374,6,195.43,0,65,4,3,1,1,1,1,1,1,5
CHEMBL2448613,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1.CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1.O=C(O)C(O)C(O)C(=O)O,1005.214,16,6,7.2104,72,270.2306,19,204.68,0,72,6,4,1,1,1,1,1,4,5
